,h3,count,geometry
1800,88195da741fffff,5,"POLYGON ((-0.2102928654665767 51.6593752017323, -0.2170219853637378 51.65818202976491, -0.2182430817170609 51.65371154067832, -0.2127358466830194 51.65043448924887, -0.2060077987675016 51.65162770023658, -0.2047859140166746 51.65609792361798, -0.2102928654665767 51.6593752017323))"
1801,88195da743fffff,1,"POLYGON ((-0.2060077987675016 51.65162770023658, -0.2127358466830194 51.65043448924887, -0.2139570687138584 51.64596377432465, -0.2084510310007844 51.64268653615392, -0.2017240548010155 51.6438797862603, -0.2005020447108261 51.64835023540328, -0.2060077987675016 51.65162770023658))"
1802,88195da745fffff,1,"POLYGON ((-0.2225304181341018 51.66145889421134, -0.2292602305480515 51.66026504278604, -0.230480538093064 51.65579428809747, -0.2249718221446856 51.65251765042073, -0.2182430817170609 51.65371154067832, -0.2170219853637378 51.65818202976491, -0.2225304181341018 51.66145889421134))"
1803,88195da747fffff,4,"POLYGON ((-0.2182430817170609 51.65371154067832, -0.2249718221446856 51.65251765042073, -0.2261922557055105 51.64804666981848, -0.2206847374209697 51.64476984513639, -0.2139570687138584 51.64596377432465, -0.2127358466830194 51.65043448924887, -0.2182430817170609 51.65371154067832))"
1804,88195da749fffff,2,"POLYGON ((-0.2023416070552919 51.66503765285397, -0.209071106204468 51.66384519920874, -0.2102928654665767 51.6593752017323, -0.2047859140166746 51.65609792361798, -0.1980574871102494 51.65729041637316, -0.1968349395232871 51.66176014811727, -0.2023416070552919 51.66503765285397))"
1805,88195da74bfffff,16,"POLYGON ((-0.1980574871102494 51.65729041637316, -0.2047859140166746 51.65609792361798, -0.2060077987675016 51.65162770023658, -0.2005020447108261 51.64835023540328, -0.1937746897810251 51.64954276736679, -0.1925520170435648 51.65401272493983, -0.1980574871102494 51.65729041637316))"
1806,88195da753fffff,5,"POLYGON ((-0.1852130607121267 51.63404623331729, -0.1919382724867184 51.63285362264234, -0.1931605328080651 51.62838272240639, -0.1876583684401162 51.62510469886627, -0.180934227844224 51.6262973490442, -0.1797111805497881 51.63076798324387, -0.1852130607121267 51.63404623331729))"
1807,88195da759fffff,6,"POLYGON ((-0.1815437552932847 51.64745674266353, -0.1882704167642771 51.64626488947847, -0.1894932145030801 51.64179470621982, -0.1839901381210441 51.63851664211817, -0.1772645483552029 51.63970853479771, -0.1760409633785169 51.64417845206901, -0.1815437552932847 51.64745674266353))"
1808,88195da75bfffff,1,"POLYGON ((-0.1772645483552029 51.63970853479771, -0.1839901381210441 51.63851664211817, -0.1852130607121267 51.63404623331729, -0.1797111805497881 51.63076798324387, -0.1729866622229493 51.63195991551612, -0.1717629527316949 51.63643005825369, -0.1772645483552029 51.63970853479771))"
1809,88195da75dfffff,6,"POLYGON ((-0.1937746897810251 51.64954276736679, -0.2005020447108261 51.64835023540328, -0.2017240548010155 51.6438797862603, -0.1962194977222815 51.64060213494972, -0.1894932145030801 51.64179470621982, -0.1882704167642771 51.64626488947847, -0.1937746897810251 51.64954276736679))"
